dataset,seed,leak,model,val,test,gap,p_single,p_dup,p_cvgap
phoneme,1,предобработка_до_сплита,hgb,0.8342644764526548,0.9325608520239392,-0.09829637557128446,,,
phoneme,1,предобработка_до_сплита,logit,0.6933978692646434,0.7875580795043883,-0.09416021023974486,,,
phoneme,1,предобработка_до_сплита,__probes__,,,,0.7165848261012591,0.007,-0.10569743065434267
phoneme,2,нет,rf,0.9406513508862502,0.9382396750817803,0.0024116758044698816,,,
phoneme,2,нет,hgb,0.9331201361402703,0.9357730936678305,-0.002652957527560118,,,
phoneme,2,нет,logit,0.7828352358553701,0.8107677055045476,-0.027932469649177505,,,
phoneme,2,нет,__probes__,,,,0.7119638745177786,0.008,0.0011083386389804106
phoneme,2,признак_из_цели,rf,0.9680992944415763,0.7784267521109627,0.1896725423306136,,,
phoneme,2,признак_из_цели,hgb,0.9692632746324021,0.7853882590724696,0.18387501555993258,,,
phoneme,2,признак_из_цели,logit,0.9545498001873841,0.6381884276621119,0.3163613725252722,,,
phoneme,2,признак_из_цели,__probes__,,,,0.9413427435030952,0.0,-0.004577873916798425
phoneme,2,дубликаты,rf,0.9588596053439804,0.9382396750817803,0.020619930262200103,,,
phoneme,2,дубликаты,hgb,0.9524723587223587,0.9357730936678305,0.016699265054528234,,,
phoneme,2,дубликаты,logit,0.7955265279484028,0.8107677055045476,-0.015241177556144736,,,
phoneme,2,дубликаты,__probes__,,,,0.7119638745177786,0.255,0.018941291861510057
phoneme,2,предобработка_до_сплита,rf,0.8109667728808354,0.9387473597999914,-0.12778058691915595,,,
phoneme,2,предобработка_до_сплита,hgb,0.8026335995085995,0.936381357433989,-0.1337477579253895,,,
phoneme,2,предобработка_до_сплита,logit,0.6772880835380836,0.7842292052818369,-0.10694112174375336,,,
phoneme,2,предобработка_до_сплита,__probes__,,,,0.7119638745177786,0.008,-0.12921433851105857
spambase,0,нет,rf,0.9793702270111936,0.9877452212226299,-0.008374994211436282,,,
spambase,0,нет,hgb,0.9786546709906893,0.9864301150927275,-0.0077754441020382314,,,
spambase,0,нет,logit,0.9702897792656134,0.968709688227706,0.0015800910379074606,,,
spambase,0,нет,__probes__,,,,0.827164699590467,0.071,-0.005508998679677024
spambase,0,признак_из_цели,rf,0.994424102939638,0.9542330502085742,0.040191052731063825,,,
spambase,0,признак_из_цели,hgb,0.9956355267287373,0.9428598951265684,0.052775631602168915,,,
spambase,0,признак_из_цели,logit,0.9894591484464901,0.9205407850429714,0.06891836340351865,,,
spambase,0,признак_из_цели,__probes__,,,,0.9457811213014624,0.0,0.001957625463932744
spambase,0,дубликаты,rf,0.990327365538158,0.9877452212226299,0.0025821443155281676,,,
spambase,0,дубликаты,hgb,0.9895877787951987,0.9864301150927275,0.0031576637024711696,,,
spambase,0,дубликаты,logit,0.9708432946206976,0.968709688227706,0.0021336063929916493,,,
spambase,0,дубликаты,__probes__,,,,0.827164699590467,0.311,0.004856529670780985
spambase,0,предобработка_до_сплита,rf,0.8622545587132435,0.9878834330133521,-0.1256288743001086,,,
spambase,0,предобработка_до_сплита,hgb,0.8620411765437062,0.9864301150927275,-0.12438893854902133,,,
spambase,0,предобработка_до_сплита,logit,0.8609349039365902,0.9806964198957967,-0.11976151595920648,,,
spambase,0,предобработка_до_сплита,__probes__,,,,0.827164699590467,0.071,-0.12078134115275474
spambase,1,нет,rf,0.9758485366303128,0.9838393137357465,-0.007990777105433722,,,
spambase,1,нет,hgb,0.9820115260256991,0.9864086201485511,-0.004397094122852052,,,
spambase,1,нет,logit,0.9611750515153037,0.9801611047180668,-0.018986053202763142,,,
spambase,1,нет,__probes__,,,,0.832534257686459,0.09,0.0015522013727575779
spambase,1,признак_из_цели,rf,0.9898749392705767,0.9555832200020923,0.0342917192684844,,,
spambase,1,признак_из_цели,hgb,0.9940108224020372,0.9420943613348678,0.051916461067169406,,,
spambase,1,признак_из_цели,logit,0.9896508686401635,0.9088858667224605,0.08076500191770297,,,
spambase,1,признак_из_цели,__probes__,,,,0.9364716545313923,0.0,0.00025172887784563613
spambase,1,дубликаты,rf,0.9878924937672664,0.9838393137357465,0.004053180031519887,,,
spambase,1,дубликаты,hgb,0.9885326123576579,0.9864086201485511,0.002123992209106751,,,
spambase,1,дубликаты,logit,0.9633321541675088,0.9801611047180668,-0.016828950550557997,,,
spambase,1,дубликаты,__probes__,,,,0.832534257686459,0.32,0.0074352098952176204
spambase,1,предобработка_до_сплита,rf,0.8651392257934102,0.9834710743801651,-0.11833184858675494,,,
spambase,1,предобработка_до_сплита,hgb,0.8685756519102487,0.9864253583010775,-0.11784970639082881,,,
spambase,1,предобработка_до_сплита,logit,0.8614964456573008,0.9824835233811068,-0.12098707772380601,,,
spambase,1,предобработка_до_сплита,__probes__,,,,0.832534257686459,0.09,-0.11577297574814516
spambase,2,нет,rf,0.9856219269798097,0.9824177849257006,0.003204142054109016,,,
spambase,2,нет,hgb,0.9829772988806361,0.9853663031277747,-0.0023890042471386153,,,
spambase,2,нет,logit,0.9618872266973534,0.9712980181266857,-0.009410791429332321,,,
spambase,2,нет,__probes__,,,,0.8337331328056399,0.087,0.0023692078601948996
spambase,2,признак_из_цели,rf,0.9932126791505388,0.9552298503962072,0.037982828754331566,,,
spambase,2,признак_из_цели,hgb,0.9950664295428392,0.9492846492771105,0.045781780265728655,,,
spambase,2,признак_из_цели,logit,0.9871618370122398,0.9222286441842154,0.06493319282802446,,,
spambase,2,признак_из_цели,__probes__,,,,0.9415476425960173,0.0,0.002240375685544027
spambase,2,дубликаты,rf,0.9880719740558636,0.9824177849257006,0.005654189130162912,,,
spambase,2,дубликаты,hgb,0.985195104090386,0.9853663031277747,-0.000171199037388714,,,
